T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
1,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,1,0.5,1,1,1,1,1,1
0.6666666667,0.6666666667,1,0.6666666667,0.6666666667,1,0.6666666667,1,1,0.3333333333,1,1,0.6666666667,1,1,0.6666666667,0.6666666667,1,0.6666666667,1,1,0.6666666667,1,0.6666666667,0.6666666667,1,1,1,1,1
0.5,0.5,1,0.5,0.75,1,0.5,1,0.75,0.5,0.75,1,0.75,1,1,0.5,0.75,1,0.75,0.75,1,0.75,0.75,0.5,0.75,0.75,0.75,1,1,0.75
0.4,0.6,0.8,0.6,0.8,0.8,0.6,1,0.6,0.4,0.8,1,0.6,0.8,0.8,0.6,0.6,1,0.8,0.6,1,0.6,0.8,0.4,0.8,0.8,0.6,1,1,0.6
0.3333333333,0.5,0.8333333333,0.6666666667,0.8333333333,0.8333333333,0.5,0.8333333333,0.5,0.5,0.8333333333,0.8333333333,0.5,0.6666666667,0.6666666667,0.6666666667,0.5,0.8333333333,0.6666666667,0.5,0.8333333333,0.6666666667,0.6666666667,0.3333333333,0.8333333333,0.8333333333,0.6666666667,1,0.8333333333,0.6666666667
0.2857142857,0.5714285714,0.7142857143,0.5714285714,0.7142857143,0.7142857143,0.5714285714,0.7142857143,0.4285714286,0.4285714286,0.7142857143,0.8571428571,0.5714285714,0.5714285714,0.7142857143,0.7142857143,0.5714285714,0.7142857143,0.5714285714,0.5714285714,0.8571428571,0.5714285714,0.5714285714,0.2857142857,0.8571428571,0.8571428571,0.5714285714,0.8571428571,0.7142857143,0.5714285714
0.25,0.5,0.625,0.625,0.625,0.625,0.625,0.75,0.5,0.5,0.625,0.75,0.5,0.5,0.625,0.625,0.5,0.75,0.5,0.5,0.75,0.5,0.625,0.25,0.75,0.75,0.5,0.75,0.625,0.625
0.3333333333,0.5555555556,0.5555555556,0.6666666667,0.6666666667,0.5555555556,0.5555555556,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.6666666667,0.4444444444,0.4444444444,0.5555555556,0.6666666667,0.4444444444,0.6666666667,0.5555555556,0.4444444444,0.6666666667,0.4444444444,0.5555555556,0.3333333333,0.6666666667,0.6666666667,0.4444444444,0.6666666667,0.5555555556,0.5555555556
0.4,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.4,0.4,0.6,0.6,0.4,0.6,0.5,0.4,0.6,0.5,0.5,0.3,0.6,0.6,0.4,0.6,0.6,0.5
0.3636363636,0.5454545455,0.6363636364,0.6363636364,0.5454545455,0.4545454545,0.4545454545,0.5454545455,0.4545454545,0.4545454545,0.5454545455,0.6363636364,0.4545454545,0.3636363636,0.5454545455,0.5454545455,0.3636363636,0.5454545455,0.4545454545,0.4545454545,0.5454545455,0.4545454545,0.4545454545,0.2727272727,0.5454545455,0.5454545455,0.4545454545,0.6363636364,0.5454545455,0.4545454545
0.3333333333,0.5,0.5833333333,0.5833333333,0.5,0.4166666667,0.4166666667,0.5833333333,0.5,0.5,0.5833333333,0.5833333333,0.4166666667,0.4166666667,0.5,0.5,0.4166666667,0.5,0.4166666667,0.5,0.5,0.4166666667,0.4166666667,0.3333333333,0.5,0.5,0.4166666667,0.5833333333,0.5833333333,0.4166666667
0.3846153846,0.5384615385,0.6153846154,0.6153846154,0.4615384615,0.4615384615,0.4615384615,0.6153846154,0.5384615385,0.5384615385,0.5384615385,0.5384615385,0.3846153846,0.4615384615,0.5384615385,0.5384615385,0.4615384615,0.5384615385,0.4615384615,0.5384615385,0.4615384615,0.3846153846,0.3846153846,0.3076923077,0.4615384615,0.4615384615,0.4615384615,0.5384615385,0.5384615385,0.3846153846
0.3571428571,0.5,0.5714285714,0.5714285714,0.5,0.4285714286,0.5,0.6428571429,0.5,0.5714285714,0.5,0.5714285714,0.3571428571,0.5,0.5714285714,0.5,0.4285714286,0.5,0.5,0.5714285714,0.5,0.4285714286,0.4285714286,0.3571428571,0.5,0.5,0.5,0.5714285714,0.5714285714,0.3571428571
